t,whenRes,ms.x,ms.v,ms.a
1.200000,4,544.000000,0.000000,0.000000
1.220000,4,544.309300,46.395000,4639.500000
1.240000,4,546.474400,185.580000,9279.000000
1.260000,4,552.351100,417.555000,13918.500000
1.280000,4,563.795200,742.320000,18558.000000
1.300000,8,582.662500,1159.875000,23197.500000
1.320000,8,610.499500,1623.825000,23197.500000
1.340000,8,647.615500,2087.775000,23197.500000
1.360000,8,694.010500,2551.725000,23197.500000
1.380000,8,749.684500,3015.675000,23197.500000
1.400000,8,814.637500,3479.625000,23197.500000
1.420000,12,888.562196,3897.379827,18568.002156
1.440000,12,969.914093,4222.344871,13928.502156
1.460000,12,1056.837391,4454.519914,9289.002156
1.480000,12,1147.476290,4593.904957,4649.502156
1.500000,12,1239.974989,4640.500000,10.002156
1.520000,16,1332.784994,4640.500216,0.000000
1.540000,16,1425.594998,4640.500216,0.000000
1.560000,16,1518.405002,4640.500216,0.000000
1.580000,16,1611.215006,4640.500216,0.000000
1.600000,20,1704.025011,4640.500000,-10.002156
1.620000,20,1796.523710,4593.904957,-4649.502156
1.640000,20,1887.162609,4454.519914,-9289.002156
1.660000,20,1974.085907,4222.344871,-13928.502156
1.680000,20,2055.437804,3897.379827,-18568.002156
1.700000,24,2129.362500,3479.625000,-23197.500000
1.720000,24,2194.315500,3015.675000,-23197.500000
1.740000,24,2249.989500,2551.725000,-23197.500000
1.760000,24,2296.384500,2087.775000,-23197.500000
1.780000,24,2333.500500,1623.825000,-23197.500000
1.800000,28,2361.337500,1159.875000,-23197.500000
1.820000,28,2380.204800,742.320000,-18558.000000
1.840000,28,2391.648900,417.555000,-13918.500000
1.860000,28,2397.525600,185.580000,-9279.000000
1.880000,28,2399.690700,46.395000,-4639.500000
1.900000,0,2400.000000,0.000000,0.000000
